Order ID,Order Date,Customer Name,Segment,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Region,City,State
ORD-10085,2024-01-01,Customer 063,Consumer,Office Supplies,Storage,Notebook,257.53,6,0.0,47.68,Central,Delhi,Delhi
ORD-10135,2024-01-02,Customer 033,Home Office,Office Supplies,Binders,File Folder,311.12,4,0.2,21.83,West,Mumbai,Maharashtra
ORD-10159,2024-01-03,Customer 026,Home Office,Office Supplies,Binders,Printer Paper,259.83,3,0.1,45.55,West,Mumbai,Maharashtra
ORD-10297,2024-01-05,Customer 052,Consumer,Office Supplies,Binders,File Folder,61.35,1,0.0,13.41,South,Bengaluru,Karnataka
ORD-10009,2024-01-05,Customer 014,Consumer,Furniture,Bookcases,Bookshelf,245.17,1,0.15,8.6,East,Kolkata,West Bengal
ORD-10043,2024-01-09,Customer 074,Corporate,Technology,Computers,Keyboard,2942.61,4,0.3,79.86,East,Kolkata,West Bengal
ORD-10020,2024-01-09,Customer 019,Corporate,Furniture,Chairs,Conference Table,899.35,4,0.2,22.53,Central,Delhi,Delhi
ORD-10139,2024-01-12,Customer 012,Consumer,Furniture,Bookcases,Bookshelf,2475.68,7,0.0,311.78,East,Kolkata,West Bengal
ORD-10174,2024-01-12,Customer 017,Consumer,Office Supplies,Storage,Notebook,261.71,7,0.1,38.59,South,Bengaluru,Karnataka
ORD-10376,2024-01-13,Customer 077,Corporate,Office Supplies,Binders,File Folder,358.09,6,0.3,20.24,East,Kolkata,West Bengal
ORD-10394,2024-01-13,Customer 013,Corporate,Technology,Phones,Keyboard,120.88,7,0.1,13.3,West,Mumbai,Maharashtra
ORD-10081,2024-01-15,Customer 029,Consumer,Furniture,Tables,Cabinet,1119.89,7,0.1,-1.0,East,Kolkata,West Bengal
ORD-10036,2024-01-16,Customer 024,Home Office,Technology,Accessories,Monitor,6663.7,7,0.15,666.54,West,Mumbai,Maharashtra
ORD-10105,2024-01-17,Customer 074,Corporate,Office Supplies,Binders,Printer Paper,164.01,4,0.2,13.54,East,Kolkata,West Bengal
ORD-10349,2024-01-19,Customer 067,Corporate,Office Supplies,Storage,File Folder,44.18,3,0.1,8.28,Central,Delhi,Delhi
ORD-10150,2024-01-20,Customer 026,Consumer,Furniture,Bookcases,Cabinet,857.95,4,0.1,54.81,Central,Delhi,Delhi
ORD-10329,2024-01-20,Customer 041,Consumer,Furniture,Tables,Desk,386.05,3,0.2,7.85,South,Bengaluru,Karnataka
ORD-10023,2024-01-22,Customer 030,Home Office,Office Supplies,Storage,Notebook,67.21,1,0.1,15.92,East,Kolkata,West Bengal
